description,category
office rent payment monthly,Rent & Utilities
electricity bill office,Rent & Utilities
internet broadband bill,Rent & Utilities
water bill commercial,Rent & Utilities
coworking space rent,Rent & Utilities

aws cloud hosting monthly,Software & Tools
google workspace subscription,Software & Tools
microsoft office license,Software & Tools
github subscription payment,Software & Tools
zoom meeting subscription,Software & Tools

employee salary payment march,Salaries & Payroll
staff salary disbursement,Salaries & Payroll
monthly payroll processing,Salaries & Payroll
employee bonus payout,Salaries & Payroll
contractor payment freelance,Salaries & Payroll

flight ticket booking business,Travel & Transport
uber ride office travel,Travel & Transport
hotel booking accommodation,Travel & Transport
train ticket business travel,Travel & Transport
fuel petrol diesel expense,Travel & Transport

google ads campaign marketing,Marketing
facebook ads promotion,Marketing
instagram ad campaign,Marketing
seo content marketing service,Marketing
email marketing mailchimp,Marketing

stationery purchase office supplies,Office Supplies
printer ink cartridge purchase,Office Supplies
notebooks and pens office,Office Supplies
office furniture desk chair,Office Supplies
cleaning supplies office,Office Supplies

laptop purchase company equipment,Equipment
desktop computer purchase,Equipment
printer scanner machine,Equipment
server hardware purchase,Equipment
mobile phone business use,Equipment

ca audit fees payment,Professional Services
legal consultant charges,Professional Services
gst filing service fees,Professional Services
accounting service charges,Professional Services
compliance consulting fees,Professional Services

bank loan emi payment,Banking & Finance
credit card interest charge,Banking & Finance
insurance premium payment,Banking & Finance
bank processing fee,Banking & Finance
loan interest payment,Banking & Finance

client dinner restaurant expense,Meals & Entertainment
team lunch office outing,Meals & Entertainment
food order swiggy zomato,Meals & Entertainment
coffee meeting client,Meals & Entertainment
team party expense,Meals & Entertainment

invoice payment received client,Sales Revenue
service income received,Sales Revenue
project payment received,Sales Revenue
subscription revenue received,Sales Revenue
client payment credited,Sales Revenue

raw material purchase supplier,Inventory & Raw Materials
stock inventory purchase,Inventory & Raw Materials
packaging material boxes,Inventory & Raw Materials
wholesale goods purchase,Inventory & Raw Materials
manufacturing material supply,Inventory & Raw Materials

consulting service income,Consulting Income
advisory fees received,Consulting Income
technical consulting charges,Consulting Income
business consulting revenue,Consulting Income
freelance consulting payment,Consulting Income

product sale invoice generated,Product Sales
goods sold to customer,Product Sales
hardware product sale,Product Sales
retail sale transaction,Product Sales
online product sale ecommerce,Product Sales
